kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
29,torek,6/16/20,7:30 PM,6,Getafe,20,Espanyol,0,0
29,torek,6/16/20,7:30 PM,9,Villarreal,18,RCD Mallorca,1,0
29,torek,6/16/20,10:00 PM,1,FC Barcelona,19,CD Leganés,2,0
29,sreda,6/17/20,7:30 PM,16,SD Eibar,10,Athletic,2,2
29,sreda,6/17/20,7:30 PM,15,Real Valladolid,17,Celta de Vigo,0,0
29,sreda,6/17/20,10:00 PM,11,CA Osasuna,5,Atlético Madrid,0,5
29,četrtek,6/18/20,7:30 PM,14,Alavés,4,Real Sociedad,2,0
29,četrtek,6/18/20,10:00 PM,2,Real Madrid,7,Valencia,3,0
30,petek,6/19/20,7:30 PM,9,Granada CF,7,Villarreal,0,1
30,petek,6/19/20,7:30 PM,18,RCD Mallorca,20,CD Leganés,1,1
30,petek,6/19/20,10:00 PM,3,Sevilla FC,1,FC Barcelona,0,0
30,sobota,6/20/20,2:00 PM,19,Espanyol,13,Levante,1,3
30,sobota,6/20/20,5:00 PM,10,Athletic,14,Real Betis,1,0
30,sobota,6/20/20,7:30 PM,5,Getafe,16,SD Eibar,1,1
30,sobota,6/20/20,10:00 PM,4,Atlético Madrid,15,Real Valladolid,1,0
30,nedelja,6/21/20,2:00 PM,17,Celta de Vigo,12,Alavés,6,0
30,nedelja,6/21/20,7:30 PM,8,Valencia,11,CA Osasuna,2,0
30,nedelja,6/21/20,10:00 PM,6,Real Sociedad,2,Real Madrid,1,2
31,ponedeljek,6/22/20,7:30 PM,6,Villarreal,3,Sevilla FC,2,2
31,ponedeljek,6/22/20,10:00 PM,19,CD Leganés,10,Granada CF,0,0
31,torek,6/23/20,7:30 PM,11,Levante,4,Atlético Madrid,0,1
31,torek,6/23/20,7:30 PM,15,Real Valladolid,5,Getafe,1,1
31,torek,6/23/20,10:00 PM,2,FC Barcelona,9,Athletic,1,0
31,sreda,6/24/20,7:30 PM,13,Alavés,12,CA Osasuna,0,1
31,sreda,6/24/20,7:30 PM,7,Real Sociedad,16,Celta de Vigo,0,1
31,sreda,6/24/20,10:00 PM,1,Real Madrid,18,RCD Mallorca,2,0
31,četrtek,6/25/20,7:30 PM,17,SD Eibar,8,Valencia,1,0
31,četrtek,6/25/20,10:00 PM,14,Real Betis,20,Espanyol,1,0
32,petek,6/26/20,10:00 PM,4,Sevilla FC,15,Real Valladolid,1,1
32,sobota,6/27/20,2:00 PM,10,Athletic,18,RCD Mallorca,3,1
32,sobota,6/27/20,5:00 PM,16,Celta de Vigo,2,FC Barcelona,2,2
